u,g,r,i,z,redshift,class,snr_r,extinction_r
26.67726,21.85818,20.01445,19.12145,18.65694,0.4641426,GALAXY,3.659153,0.09377542
22.86696,21.92649,21.80636,21.69508,21.31576,2.917049,QSO,1.334038,0.09754373
23.58464,22.15577,20.68584,19.87713,19.43823,0.464375,GALAXY,2.538623,0.0998657
26.34161,22.41297,21.19868,20.06048,19.80611,0.6146544,GALAXY,1.725063,0.1090572
26.30228,22.49535,20.66923,19.73123,19.233,0.5436403,GALAXY,2.710706,0.08464419
25.74495,22.91121,20.52283,19.54437,19.0834,0.474852,GALAXY,2.15085,0.07856499
22.07399,19.3899,17.95106,17.35156,16.91518,0.2336154,GALAXY,10.69585,0.07889269
23.38003,21.57675,19.97614,18.92564,18.57241,0.6514207,GALAXY,3.723576,0.07741032
21.9922,21.19747,19.86787,19.13369,18.61557,0.4687386,GALAXY,3.553236,0.07881265
23.26065,22.57697,20.97198,19.73955,19.14955,0.6552759,GALAXY,1.931956,0.08017386
21.54086,19.49423,18.05129,17.53426,17.20846,0.2428127,GALAXY,15.01119,0.08979544
23.11543,22.52168,21.02199,19.9173,19.39913,0.5924694,GALAXY,1.802285,0.08775377
24.18474,21.30983,19.36478,18.71269,18.29679,0.4181443,GALAXY,6.468316,0.1060936
25.29807,21.36905,20.16276,19.32689,18.78167,0.5426695,GALAXY,2.83875,0.07536206
25.12088,21.30051,19.53862,18.81886,18.33567,0.4595628,GALAXY,3.254957,0.07209868
23.72154,22.72035,20.9479,19.98141,19.39411,0.5444722,GALAXY,1.909891,0.07046047
22.89155,20.49813,18.88608,18.21984,17.70887,0.2599612,GALAXY,5.541286,0.07005553
24.5275,21.90366,20.53712,19.75196,19.19886,0.5427124,GALAXY,2.2907,0.0704244
